Entity,Order,CustomerType,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,DFS Rating,Tier,Value
THA-FS,1,DEALER,,,,,,,Y,,"1, 1.0",,0.0047
THA-FS,2,DEALER,,,,,,,Y,,1.1,,0.00482
THA-FS,3,DEALER,,,,,,,Y,,1.2,,0.00494
THA-FS,4,DEALER,,,,,,,Y,,1.3,,0.00506
THA-FS,5,DEALER,,,,,,,Y,,1.4,,0.00518
THA-FS,6,DEALER,,,,,,,Y,,1.5,,0.0053
THA-FS,7,DEALER,,,,,,,Y,,1.6,,0.00542
THA-FS,8,DEALER,,,,,,,Y,,1.7,,0.00554
THA-FS,9,DEALER,,,,,,,Y,,1.8,,0.00566
THA-FS,10,DEALER,,,,,,,Y,,1.9,,0.00578
THA-FS,11,DEALER,,,,,,,Y,,"2, 2.0",,0.0059
THA-FS,12,DEALER,,,,,,,Y,,2.1,,0.00609
THA-FS,13,DEALER,,,,,,,Y,,2.2,,0.00628
THA-FS,14,DEALER,,,,,,,Y,,2.3,,0.00647
THA-FS,15,DEALER,,,,,,,Y,,2.4,,0.00666
THA-FS
,16,DEALER,,,,,,,Y,,2.5,,0.00685
THA-FS,17,DEALER,,,,,,,Y,,2.6,,0.00704
THA-FS,18,DEALER,,,,,,,Y,,2.7,,0.00723
THA-FS,19,DEALER,,,,,,,Y,,2.8,,0.00742
THA-FS,20,DEALER,,,,,,,Y,,2.9,,0.00761
THA-FS,21,DEALER,,,,,,,Y,,"3, 3.0",,0.0078
THA-FS,22,DEALER,,,,,,,Y,,3.1,,0.00802
THA-FS,23,DEALER,,,,,,,Y,,3.2,,0.00824
THA-FS,24,DEALER,,,,,,,Y,,3.3,,0.00846
THA-FS,25,DEALER,,,,,,,Y,,3.4,,0.00868
THA-FS,26,DEALER,,,,,,,Y,,3.5,,0.0089
THA-FS,27,DEALER,,,,,,,Y,,3.6,,0.00912
THA-FS,28,DEALER,,,,,,,Y,,3.7,,0.00934
THA-FS,29,DEALER,,,,,,,Y,,3.8,,0.00956
THA-FS,30,DEALER,,,,,,,Y,,3.9,,0.00978
THA-FS,31,DEALER,,,,,,,Y,,"4, 4.0",,0.01
THA-FS,32,DEALER,,,,,,,Y,,4.1,,0.0103
THA-FS,33,DEALER,,,,,,,Y,,4.2,,0.0106
THA-FS,34,DEALER,,,,,,,Y,,4.3,,0.0109
THA-FS,35,DEALER,,,,,,,Y,,4.4,,0.0112
THA-FS,36,DEALER,,,,,,,Y,,4.5,,0.0115
THA-FS,37,DEALER,,,,,,,Y,,4.6,,0.0118
THA-FS,38,DEALER,,,,,,,Y,,4.7,,0.0121
THA-FS,39,DEALER,,,,,,,Y,,4.8,,0.0124
THA-FS,40,DEALER,,,,,,,Y,,4.9,,0.0127
THA-FS,41,DEALER,,,,,,,Y,,"5, 5.0",,0.013
THA-FS,42,DEALER,,,,,,,Y,,5.1,,0.01336
THA-FS,43,DEALER,,,,,,,Y,,5.2,,0.01372
THA-FS,44,DEALER,,,,,,,Y,,5.3,,0.01408
THA-FS,45,DEALER,,,,,,,Y,,5.4,,0.01444
THA-FS,46,DEALER,,,,,,,Y,,5.5,,0.0148
THA-FS,47,DEALER,,,,,,,Y,,5.6,,0.01516
THA-FS,48,DEALER,,,,,,,Y,,5.7,,0.01552
THA-FS,49,DEALER,,,,,,,Y,,5.8,,0.01588
